"ID","Name","Chinese Name","Part","Lean","Approx. Price","Rec. Cooking Methods","Recommended Dishes","Texture & Notes","image reference","google_drive_image_id","googleDriveImageId","google_drive_image_url","googleDriveImageUrl"
"52","Kabobs*","烤肉串肉 / 骰子牛","Other","Yes","$8 – $12","Grilling, Broiling","Skewers with vegetables","Usually sirloin/round chunks; best marinated.","beef_cut_r1_c7","14SUJ_avIMTFJAwwE5Mj-JdgdxYmnLcsl","14SUJ_avIMTFJAwwE5Mj-JdgdxYmnLcsl","https://drive.google.com/uc?export=view&id=14SUJ_avIMTFJAwwE5Mj-JdgdxYmnLcsl","https://drive.google.com/uc?export=view&id=14SUJ_avIMTFJAwwE5Mj-JdgdxYmnLcsl"
"53","Stew Meat","燉肉塊","Other","No","$6 – $9","Stewing, Pressure Cooking","Beef bourguignon, chili","Misc. tough trimmings; high collagen thickens stews.","beef_cut_r2_c7","1KPxxGOJbPmg4QLTsFz7AQM8f-KWQdY9N","1KPxxGOJbPmg4QLTsFz7AQM8f-KWQdY9N","https://drive.google.com/uc?export=view&id=1KPxxGOJbPmg4QLTsFz7AQM8f-KWQdY9N","https://drive.google.com/uc?export=view&id=1KPxxGOJbPmg4QLTsFz7AQM8f-KWQdY9N"
"54","Strips*","牛肉條","Other","Yes","$8 – $12","Stir-Fry, Skillet Cooking","Stroganoff, fajitas","Pre-cut strips; cooks very fast.","beef_cut_r3_c7","1jW7qznNKPKu40Ta34wp-3vqwgk0FeStq","1jW7qznNKPKu40Ta34wp-3vqwgk0FeStq","https://drive.google.com/uc?export=view&id=1jW7qznNKPKu40Ta34wp-3vqwgk0FeStq","https://drive.google.com/uc?export=view&id=1jW7qznNKPKu40Ta34wp-3vqwgk0FeStq"
"55","Cubed Steak","機器嫩化牛排 / 什錦牛排","Other","No","$6 – $9","Skillet, Braising, Frying","Chicken fried steak","Mechanically tenderized; distinct texture.","beef_cut_r4_c7","1u_QVUq-k-SyPuFr9gZNGLX-YWEz0tQbk","1u_QVUq-k-SyPuFr9gZNGLX-YWEz0tQbk","https://drive.google.com/uc?export=view&id=1u_QVUq-k-SyPuFr9gZNGLX-YWEz0tQbk","https://drive.google.com/uc?export=view&id=1u_QVUq-k-SyPuFr9gZNGLX-YWEz0tQbk"
"56","Ground Beef","牛絞肉","Other","Varies","$4 – $8","Skillet, Grilling, Baking","Burgers, meatloaf, bolognese","Texture depends on fat content (80/20 juicy, 90/10 crumbly).","beef_cut_r5_c7","1l3GjPuSgFUGKmynZrCalX17NFJdQJzco","1l3GjPuSgFUGKmynZrCalX17NFJdQJzco","https://drive.google.com/uc?export=view&id=1l3GjPuSgFUGKmynZrCalX17NFJdQJzco","https://drive.google.com/uc?export=view&id=1l3GjPuSgFUGKmynZrCalX17NFJdQJzco"
"57","Shank Cross-Cut","帶骨牛腱 / 牛腱心切片","Shank","Yes","$5 – $8","Braising, Stewing","Osso buco, soup","Contains marrow bone; tough/gelatinous; incredible broth.","beef_cut_r6_c7","1kXs5FtHtHLDX71KTiBaqWkComwMjqzL4","1kXs5FtHtHLDX71KTiBaqWkComwMjqzL4","https://drive.google.com/uc?export=view&id=1kXs5FtHtHLDX71KTiBaqWkComwMjqzL4","https://drive.google.com/uc?export=view&id=1kXs5FtHtHLDX71KTiBaqWkComwMjqzL4"
"58","Tenderloin Tips","菲力邊角肉 / 骰子菲力","Other","Yes","$12 – $18","Skillet, Grilling","Stroganoff, kabobs","Trimmings from tenderloin; just as tender as filet.","beef_cut_r7_c7","1BN1EZSIfUmu_TbUd2cASIoerBXzuWx_m","1BN1EZSIfUmu_TbUd2cASIoerBXzuWx_m","https://drive.google.com/uc?export=view&id=1BN1EZSIfUmu_TbUd2cASIoerBXzuWx_m","https://drive.google.com/uc?export=view&id=1BN1EZSIfUmu_TbUd2cASIoerBXzuWx_m"
"59","Brisket Flat","牛胸腩 (扁平部位)","Brisket","Yes","$8 – $12","Braising, Smoking, Curing","Corned beef, pastrami","Leaner half of brisket; firm slice; dense grain.","beef_cut_r8_c6","1q1tJs_3rzYTLyUWuO32XOUz2e5gyIhQA","1q1tJs_3rzYTLyUWuO32XOUz2e5gyIhQA","https://drive.google.com/uc?export=view&id=1q1tJs_3rzYTLyUWuO32XOUz2e5gyIhQA","https://drive.google.com/uc?export=view&id=1q1tJs_3rzYTLyUWuO32XOUz2e5gyIhQA"
"60","Brisket Point","牛胸腩 (尖頭部位)","Brisket","No","$6 – $10","Braising, Smoking","Burnt ends, shredded BBQ","Fatty half of brisket; luscious, moist, intense flavor.","beef_cut_r9_c6","1Crdyy3bEl2jUO0HR0y14BTehQBvgPGAs","1Crdyy3bEl2jUO0HR0y14BTehQBvgPGAs","https://drive.google.com/uc?export=view&id=1Crdyy3bEl2jUO0HR0y14BTehQBvgPGAs","https://drive.google.com/uc?export=view&id=1Crdyy3bEl2jUO0HR0y14BTehQBvgPGAs"
"61","Inside Skirt*","內橫膈膜 / 內裙肉","Plate/Flank","No","$14 – $22","Grilling, Skillet, Stir-Fry","Fajitas, carne asada","Long flat cut; open grain; marinade sponge; chewy but tasty.","beef_cut_r8_c7","1qA5LNC-IBGqvaPXZc91jG_xPqoX4WVFf","1qA5LNC-IBGqvaPXZc91jG_xPqoX4WVFf","https://drive.google.com/uc?export=view&id=1qA5LNC-IBGqvaPXZc91jG_xPqoX4WVFf","https://drive.google.com/uc?export=view&id=1qA5LNC-IBGqvaPXZc91jG_xPqoX4WVFf"
"62","Flank Steak*","腹脅肉牛排 / 扇子肉","Plate/Flank","Yes","$12 – $18","Grilling, Broiling, Marinate","London Broil, stir-fry","Flat oval cut; distinct grain; lean/chewy; slice against grain!","beef_cut_r9_c7","1ON7rWBlAQiKWesw8Zdq72XYmhzSUlgUv","1ON7rWBlAQiKWesw8Zdq72XYmhzSUlgUv","https://drive.google.com/uc?export=view&id=1ON7rWBlAQiKWesw8Zdq72XYmhzSUlgUv","https://drive.google.com/uc?export=view&id=1ON7rWBlAQiKWesw8Zdq72XYmhzSUlgUv"
"63","Short Ribs, Bone-In (lean)","帶骨牛小排 (瘦肉)","Plate/Flank","No","$10 – $15","Braising, Stewing","Braised short ribs","Rich, fatty, melting texture.","beef_cut_r9_c5","18PKppNK63nYPf6WS1oQrnbZ6oQU0EWiu","18PKppNK63nYPf6WS1oQrnbZ6oQU0EWiu","https://drive.google.com/uc?export=view&id=18PKppNK63nYPf6WS1oQrnbZ6oQU0EWiu","https://drive.google.com/uc?export=view&id=18PKppNK63nYPf6WS1oQrnbZ6oQU0EWiu"
